pokemon_name	number_of_nodes_in_the_local_comunity	conductance_value_of_the_local_comunity
Abomasnow	140	0.4124230554001119
Accelgor	138	0.3951081843838194
Aegislash	139	0.4105960264900662
Aerodactyl	140	0.40914285714285714
Aggron	140	0.4037735849056604
Alakazam	109	0.3871576959395656
Alcremie	129	0.40601503759398494
Altaria	136	0.4086629001883239
Amoonguss	109	0.3483992467043315
Appletun	140	0.42125237191650855
Araquanid	95	0.3374175306314797
Arcanine	110	0.38070588235294117
Archeops	140	0.3584195672624647
Arctovish	139	0.4167450611476952
Arctozolt	115	0.37411764705882355
Armaldo	2	0.3333333333333333
Aromatisse	139	0.4097123998114097
Articuno	139	0.4167450611476952
Articuno-Galar	131	0.40150801131008484
Aurorus	140	0.42927794263105834
Avalugg	140	0.4270833333333333
Azumarill	124	0.3788235294117647
Barraskewda	140	0.39748549323017407
Beartic	116	0.4115983026874116
Bisharp	105	0.36806560540279787
Blacephalon	132	0.4075471698113208
Blastoise	97	0.3595080416272469
Blaziken	137	0.39442607463391594
Blissey	140	0.4242600116076611
Braviary	118	0.41497880357983985
Bronzong	95	0.3487494100991034
Bronzor	118	0.40667606958157027
Butterfree	137	0.4108235294117647
Buzzwole	111	0.384109073812882
Calyrex-Ice	105	0.4046379555134879
Calyrex-Shadow	94	0.34056603773584904
Carbink	140	0.4058178350023844
Celesteela	95	0.3452661328308997
Centiskorch	139	0.3948374760994264
Chandelure	114	0.3907721280602637
Chansey	140	0.40828402366863903
Charizard	105	0.35183443085606775
Cherrim	140	0.40254837187352527
Cinccino	139	0.4095139607032058
Cinderace	121	0.3455571227080395
Claydol	140	0.44084600132187707
Clefable	97	0.35902255639097747
Clefairy	96	0.3412434741338396
Coalossal	136	0.38345864661654133
Cobalion	138	0.38207547169811323
Cofagrigus	136	0.411875589066918
Comfey	89	0.3424399434762129
Conkeldurr	114	0.384109073812882
Corviknight	139	0.37070183702308057
Cradily	120	0.412930627654554
Crawdaunt	93	0.37423312883435583
Cresselia	96	0.3578847969782814
Crobat	113	0.3544423440453686
Darmanitan	5	0.38461538461538464
Darmanitan-Galar	129	0.37541215261422517
Dialga	135	0.37629350893697083
Diggersby	136	0.40545625587958606
Ditto	120	0.3939679547596607
Dracovish	102	0.3323930418429713
Dracozolt	98	0.35559736594543745
Dragalge	131	0.38692994828396804
Dragapult	118	0.35517568850902187
Dragonite	102	0.3651393481341521
Drednaw	138	0.3963155408597071
Drifblim	110	0.4104372355430183
Dubwool	137	0.4036740461610928
Dugtrio	137	0.42238946378174974
Duraludon	117	0.3728813559322034
Durant	135	0.3988711194731891
Dusclops	94	0.34085566525622946
Dusknoir	140	0.4018161180476731
Eevee	122	0.40405469118340404
Electivire	138	0.3987730061349693
Entei	98	0.3509185115402732
Escavalier	135	0.3810645313235987
Espeon	140	0.4014014014014014
Eternatus	133	0.37976470588235295
Excadrill	93	0.35183443085606775
Exeggutor	129	0.3977272727272727
Exeggutor-Alola	140	0.40550807217473883
Ferrothorn	89	0.3104421448730009
Froslass	140	0.43293556085918855
Gallade	139	0.4043355325164939
Garchomp	103	0.3443085606773283
Gardevoir	140	0.41798365122615805
Gastrodon	92	0.3519924098671727
Gengar	108	0.38115734098517456
Gigalith	115	0.3747645951035782
Giratina	107	0.3967058823529412
Glastrier	140	0.4111531190926276
Golduck	137	0.4257518796992481
Golisopod	140	0.4165471066475371
Goodra	122	0.3867924528301887
Gothitelle	131	0.3824228028503563
Gourgeist-Super	2	0.3333333333333333
Grimmsnarl	101	0.35283018867924526
Groudon	106	0.3709981167608286
Guzzlord	5	0.38461538461538464
Gyarados	103	0.3903846153846154
Hatterene	137	0.36916548797736914
Hawlucha	135	0.4003813155386082
Haxorus	133	0.380997177798683
Heatran	98	0.3333333333333333
Heliolisk	138	0.4063969896519285
Hippowdon	117	0.402081362346263
Hitmonlee	140	0.42125237191650855
Hitmontop	113	0.3859234766178555
Ho-Oh	105	0.36896877956480606
Hydreigon	107	0.3680227057710501
Incineroar	112	0.3464974141984015
Indeedee	118	0.35856196783349104
Indeedee-F	120	0.36316533207724916
Inteleon	111	0.3844705882352941
Jellicent	105	0.388915206063477
Jigglypuff	125	0.4119318181818182
Jolteon	138	0.41458823529411765
Jynx	128	0.4119867862199151
Kangaskhan	118	0.3777148253068933
Kartana	99	0.344
Kingdra	114	0.37830188679245286
Klefki	132	0.40385519511048423
Koffing	109	0.3855592260500236
Krookodile	139	0.414818310523832
Kyogre	92	0.37129411764705883
Landorus	100	0.3669064748201439
Landorus-Therian	109	0.3459536204448651
Lapras	101	0.3659454374412041
Latias	96	0.3605313092979127
Latios	140	0.41045498547918685
Liepard	139	0.391304347826087
Lilligant	138	0.41504969238050166
Lopunny	136	0.3945386064030132
Lucario	140	0.414818310523832
Ludicolo	105	0.4005655042412818
Lugia	117	0.4042352941176471
Lunala	131	0.40150801131008484
Luxray	10	0.40540540540540543
Machamp	140	0.418426103646833
Magnezone	140	0.3934813415210203
Malamar	140	0.436241610738255
Mamoswine	122	0.3963155408597071
Mandibuzz	140	0.3822688274547188
Manectric	140	0.40709219858156026
Mantine	140	0.40868706811451133
Marowak-Alola	108	0.37482319660537483
Meowstic	140	0.4083769633507853
Mesprit	140	0.4141702330004755
Metagross	102	0.3427495291902072
Mewtwo	123	0.3527751646284102
Mienshao	111	0.38287864534336785
Milotic	93	0.3437057991513437
Miltank	137	0.4036740461610928
Mime Jr.	140	0.390702274975272
Mimikyu	115	0.3618823529411765
Moltres	119	0.40793201133144474
Moltres-Galar	99	0.34249171009000473
Morpeko	140	0.4062205466540999
Mr. Mime	140	0.41702127659574467
Mr. Mime-Galar	139	0.4167450611476952
Mudsdale	137	0.4127659574468085
Naganadel	117	0.4195375176970269
Necrozma-Dusk-Mane	103	0.3781749764816557
Nidoking	105	0.3625648279113626
Nidoqueen	126	0.40932642487046633
Nihilego	99	0.34494117647058825
Ninetales	126	0.38627819548872183
Ninetales-Alola	119	0.379441023211748
Obstagoon	128	0.42830277385989657
Omastar	140	0.39971000483325275
Oranguru	112	0.4108235294117647
Palkia	121	0.3785310734463277
Palossand	140	0.4237837837837838
Passimian	114	0.3986804901036758
Pelipper	118	0.4002828854314003
Persian-Alola	132	0.39574468085106385
Pheromosa	105	0.3951954780970325
Pikachu	128	0.3966165413533835
Pincurchin	127	0.41121055110692417
Politoed	105	0.34619002822201317
Polteageist	107	0.34560906515580736
Porygon-Z	104	0.3948235294117647
Porygon2	126	0.367826904985889
Primarina	93	0.3541666666666667
Quagsire	140	0.4099290780141844
Raichu	93	0.3422818791946309
Raichu-Alola	5	0.4117647058823529
Raikou	110	0.36152019002375296
Rapidash-Galar	138	0.4359980382540461
Rayquaza	128	0.4009433962264151
Regice	93	0.37423312883435583
Regidrago	95	0.3632075471698113
Regieleki	114	0.3705103969754253
Regigigas	107	0.3967058823529412
Regirock	93	0.33553875236294894
Registeel	103	0.36393752957879794
Reshiram	128	0.4027319830428639
Reuniclus	140	0.41291585127201563
Rhydon	118	0.4068835454974069
Rhyperior	113	0.36812411847672777
Ribombee	140	0.4418136020151133
Rillaboom	99	0.33427628477133425
Riolu	134	0.3983969825553984
Roserade	112	0.40825035561877665
Rotom-Heat	87	0.325187969924812
Rotom-Mow	124	0.381288199341796
Rotom-Wash	96	0.34183423246689554
Runerigus	140	0.39895882631329865
Sableye	102	0.3954802259887006
Salamence	90	0.3311289560699103
Salazzle	130	0.3710513908533711
Sandaconda	139	0.39554713405968733
Sceptile	139	0.4117647058823529
Scizor	125	0.3919172932330827
Scrafty	139	0.3905660377358491
Seaking	124	0.3788235294117647
Seismitoad	137	0.39290780141843973
Shedinja	140	0.42686170212765956
Shuckle	140	0.4018161180476731
Sirfetch'd	128	0.39576470588235296
Slowbro	140	0.4037735849056604
Slowking-Galar	140	0.4250926416093171
Slurpuff	96	0.3825187969924812
Sneasel	128	0.3634226610249177
Snorlax	105	0.367826904985889
Solgaleo	98	0.3668582375478927
Spectrier	119	0.3635077793493635
Spiritomb	112	0.37376586741889983
Stakataka	101	0.3618823529411765
Stonjourner	116	0.380321665089877
Suicune	107	0.34560906515580736
Swampert	125	0.40339302544769085
Sylveon	121	0.40586565752128667
Talonflame	101	0.35165876777251187
Tangrowth	140	0.45977011494252873
Tapu Bulu	131	0.39981185324553153
Tapu Fini	118	0.3543529411764706
Tapu Koko	91	0.32452830188679244
Tapu Lele	94	0.3559962228517469
Tauros	138	0.4091552619159981
Terrakion	124	0.36312323612417685
Thievul	140	0.38070588235294117
Thundurus	97	0.35152941176470587
Thundurus-Therian	140	0.38070588235294117
Togedemaru	114	0.38598965679360603
Togekiss	102	0.3745866792631082
Togetic	139	0.42736248236953456
Torkoal	102	0.36466165413533835
Tornadus	125	0.3766478342749529
Tornadus-Therian	140	0.4214876033057851
Torracat	119	0.39285714285714285
Toxapex	140	0.4253731343283582
Toxtricity	140	0.3883029721955896
Trapinch	130	0.41110065851364064
Trevenant	139	0.41153659718856034
Tsareena	116	0.37940761636107195
Turtonator	105	0.401789919924635
Tyranitar	86	0.3251764705882353
Umbreon	119	0.4020715630885122
Urshifu	109	0.35183443085606775
Urshifu-Rapid-Strike	125	0.3826578699340245
Uxie	120	0.3977379830348728
Vanilluxe	115	0.3742911153119093
Venusaur	102	0.3508936970837253
Vikavolt	140	0.3938534278959811
Virizion	140	0.4258373205741627
Volcarona	101	0.3493635077793494
Walrein	140	0.4183529411764706
Wartortle	140	0.39753320683111953
Weavile	129	0.40904806786050896
Weezing	114	0.4000940291490362
Weezing-Galar	124	0.37976470588235295
Whimsicott	109	0.36230514879546527
Xerneas	98	0.37447008949599625
Xurkitree	134	0.4094969440526563
Yveltal	93	0.32988235294117646
Zacian-Crowned	104	0.3532479848269322
Zamazenta-Crowned	121	0.4163130598774163
Zapdos	103	0.3521391631405736
Zapdos-Galar	107	0.3700564971751412
Zekrom	114	0.38598965679360603
Zoroark	140	0.42272943414170233
Zygarde	102	0.3991537376586742
